"sep=	"
Shimmer_A679_TimestampSync_Unix_CAL	Shimmer_A679_Accel_LN_X_CAL	Shimmer_A679_Accel_LN_Y_CAL	Shimmer_A679_Accel_LN_Z_CAL	Shimmer_A679_Accel_WR_X_CAL	Shimmer_A679_Accel_WR_Y_CAL	Shimmer_A679_Accel_WR_Z_CAL	Shimmer_A679_Battery_CAL	Shimmer_A679_Ext_Exp_A15_CAL	Shimmer_A679_GSR_Range_CAL	Shimmer_A679_GSR_Skin_Conductance_CAL	Shimmer_A679_GSR_Skin_Resistance_CAL	Shimmer_A679_Gyro_X_CAL	Shimmer_A679_Gyro_Y_CAL	Shimmer_A679_Gyro_Z_CAL	Shimmer_A679_Mag_X_CAL	Shimmer_A679_Mag_Y_CAL	Shimmer_A679_Mag_Z_CAL	Shimmer_A679_PPG_A13_CAL	Shimmer_A679_Pressure_BMP280_CAL	Shimmer_A679_Temperature_BMP280_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	mV	mV	no_units	uS	kOhms	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	mV	kPa	Degrees Celsius	
1.771340589974618E12	6.206521739130435	-5.293478260869565	2.402173913043478	4.3877917414721725	-8.562537402752842	0.06702573309395571	3929.6703296703295	1906.9597069597069	1.0	8.936707891411727	111.89802913453298	-4.3206106870229	-0.8549618320610687	-0.12213740458015267	-0.8050974512743628	0.13343328335832083	-0.2638680659670165	1300.3663003663003	99.62328716600538	28.596731256786732	
1.771340589994248E12	6.228260869565217	-5.271739130434782	2.4130434782608696	4.418910831837223	-8.550568521843207	0.0718132854578097	3928.205128205128	1913.5531135531135	1.0	8.936707891411727	111.89802913453298	-4.137404580152672	-1.3435114503816794	-0.12213740458015267	-0.808095952023988	0.1409295352323838	-0.2653673163418291	1347.985347985348	99.62612507177612	28.596731256786732	
1.7713405900138784E12	6.217391304347826	-5.293478260869565	2.4239130434782608	4.416517055655296	-8.567324955116696	0.06702573309395571	3920.879120879121	1901.098901098901	1.0	8.931602659825657	111.96198913975422	-4.564885496183206	-1.3740458015267174	-0.04580152671755725	-0.8110944527736131	0.1184407796101949	-0.2578710644677661	1364.8351648351647	99.62044926300854	28.596731256786732	
1.7713405900335085E12	6.271739130434782	-5.282608695652174	2.402173913043478	4.440454817474566	-8.552962298025134	0.09096349491322561	3928.205128205128	1911.3553113553112	1.0	8.931602659825657	111.96198913975422	-4.65648854961832	-1.7557251908396947	0.366412213740458	-0.8065967016491754	0.13493253373313344	-0.2593703148425787	1351.6483516483515	99.62328716600538	28.596731256786732	
1.7713405900531387E12	6.326086956521739	-5.293478260869565	2.4130434782608696	4.488330341113106	-8.564931178934769	0.06941950927588271	3928.205128205128	1915.018315018315	1.0	8.931602659825657	111.96198913975422	-4.152671755725191	-2.5038167938931295	-0.10687022900763359	-0.8110944527736131	0.12893553223388304	-0.2608695652173913	1318.6813186813185	99.62896298032078	28.596731256786732	
1.7713405900727688E12	6.369565217391304	-5.304347826086956	2.402173913043478	4.533812088569719	-8.567324955116696	0.06223818073010173	3928.205128205128	1915.018315018315	1.0	8.926497428239589	112.02602230483272	-4.3206106870229	-2.778625954198473	0.183206106870229	-0.7991004497751124	0.13793103448275862	-0.2593703148425787	1279.8534798534797	99.62328716600538	28.596731256786732	
1.771340590092399E12	6.3478260869565215	-5.282608695652174	2.402173913043478	4.521843207660083	-8.557749850388989	0.07420706163973669	3922.344322344322	1907.6923076923076	1.0	8.931602659825657	111.96198913975422	-3.9083969465648853	-2.4427480916030535	-0.5190839694656488	-0.8185907046476761	0.12593703148425786	-0.26836581709145424	1254.212454212454	99.62612507177612	28.596731256786732	
1.771340590112029E12	6.369565217391304	-5.260869565217392	2.391304347826087	4.5409934171155	-8.543387193297427	0.07660083782166367	3912.0879120879117	1890.8424908424906	1.0	8.926497428239589	112.02602230483272	-3.7404580152671754	-2.1068702290076335	-0.8549618320610687	-0.8095952023988006	0.1184407796101949	-0.2638680659670165	1246.153846153846	99.62044926300854	28.596731256786732	
1.7713405901316592E12	6.369565217391304	-5.293478260869565	2.4239130434782608	4.552962298025134	-8.567324955116696	0.07899461400359066	3929.6703296703295	1909.1575091575091	1.0	8.926497428239589	112.02602230483272	-3.66412213740458	-1.7251908396946565	-0.7633587786259541	-0.8110944527736131	0.1184407796101949	-0.2593703148425787	1232.967032967033	99.62328716600538	28.596731256786732	
