condition,rep,start,end
ES,0,1770984950,1770985165
NE,0,1770985765,1770985975
ES_empty,0,1770987155,1770987356
NE_empty,0,1770987677,1770987866
ES,1,1770988147,1770988325
NE,1,1770988380,1770988580
ES_empty,1,1770988625,1770988830
NE_empty,1,1770988923,1770989133
