Shimmer_A679_TimestampSync_Unix_CAL,Shimmer_A679_Accel_LN_X_CAL,Shimmer_A679_Accel_LN_Y_CAL,Shimmer_A679_Accel_LN_Z_CAL,Shimmer_A679_Accel_WR_X_CAL,Shimmer_A679_Accel_WR_Y_CAL,Shimmer_A679_Accel_WR_Z_CAL,Shimmer_A679_Battery_CAL,Shimmer_A679_Ext_Exp_A15_CAL,Shimmer_A679_GSR_Range_CAL,Shimmer_A679_GSR_Skin_Conductance_CAL,Shimmer_A679_GSR_Skin_Resistance_CAL,Shimmer_A679_Gyro_X_CAL,Shimmer_A679_Gyro_Y_CAL,Shimmer_A679_Gyro_Z_CAL,Shimmer_A679_Mag_X_CAL,Shimmer_A679_Mag_Y_CAL,Shimmer_A679_Mag_Z_CAL,Shimmer_A679_PPG_A13_CAL,Shimmer_A679_Pressure_BMP280_CAL,Shimmer_A679_Temperature_BMP280_CAL,Unnamed: 21
1770984780500.9543,5.728260869565217,-5.293478260869565,0.41304347826086957,3.932974266906044,-8.706163973668462,-2.0897666068222622,4038.0952380952376,1819.047619047619,1.0,4.668734285459024,214.19081465281573,-10.67175572519084,-1.9694656488549618,-1.7404580152671756,-0.9760119940029984,-0.029985007496251874,-0.5667166416791604,1331.135531135531,97.03418739225243,31.49109310740605,
1770984780520.5771,5.58695652173913,-5.25,0.3913043478260869,3.8252543387193296,-8.63674446439258,-2.1137043686415318,4032.234432234432,1798.5347985347985,1.0,4.668734285459024,214.19081465281573,-10.412213740458014,-2.015267175572519,-0.21374045801526717,-0.9865067466266866,-0.013493253373313342,-0.5727136431784108,1246.8864468864467,97.03703563778618,31.49109310740605,
1770984780540.1082,5.663043478260869,-5.260869565217392,0.4782608695652174,3.822860562537403,-8.61998803111909,-2.1256732495511668,4060.07326007326,1846.153846153846,1.0,4.668734285459024,214.19081465281573,-8.778625954198473,-3.8167938931297707,2.5801526717557253,-0.985007496251874,-0.01649175412293853,-0.5622188905547226,1191.2087912087911,97.03133914951788,31.49109310740605,
1770984780559.6394,5.5978260869565215,-5.271739130434782,0.44565217391304346,3.7582286056253738,-8.622381807301018,-2.0299222022740873,4038.0952380952376,1820.5128205128203,1.0,4.668734285459024,214.19081465281573,-9.893129770992367,-3.969465648854962,-0.04580152671755725,-0.9820089955022488,-0.0029985007496251873,-0.5697151424287856,1165.5677655677655,97.03703563778618,31.49109310740605,
1770984780618.141,5.793478260869565,-5.413043478260869,0.40217391304347827,3.8850987432675046,-8.749251944943147,-2.0706163973668463,4058.6080586080584,1857.142857142857,1.0,4.663629053872956,214.42528735632183,-5.801526717557252,-5.32824427480916,-2.091603053435114,-0.9835082458770614,-0.026986506746626684,-0.5637181409295352,1255.6776556776556,97.03703563778618,31.49109310740605,
1770984780637.7637,5.641304347826087,-5.369565217391304,0.40217391304347827,3.8396169958108914,-8.725314183123878,-2.1017354877318972,4035.164835164835,1822.7106227106226,1.0,4.663629053872956,214.42528735632183,-2.427480916030534,-5.3893129770992365,-2.8702290076335877,-0.9745127436281859,-0.026986506746626684,-0.5592203898050975,1327.4725274725274,97.03418739225243,31.49109310740605,
1770984780657.295,5.684782608695652,-5.369565217391304,0.40217391304347827,3.7965290245362056,-8.730101735487732,-2.094554159186116,4061.5384615384614,1847.6190476190475,1.0,4.668734285459024,214.19081465281573,-0.6259541984732824,-6.687022900763359,-3.5725190839694654,-0.9745127436281859,-0.01649175412293853,-0.568215892053973,1392.6739926739926,97.03988388611906,31.49109310740605,
1770984780676.826,5.706521739130435,-5.358695652173913,0.3913043478260869,3.834829443447038,-8.725314183123878,-2.120885697187313,4035.164835164835,1819.7802197802196,1.0,4.663629053872956,214.42528735632183,-0.1984732824427481,-9.083969465648854,-4.045801526717557,-0.9745127436281859,-0.0029985007496251873,-0.5637181409295352,1425.6410256410256,97.03418739225243,31.49109310740605,
1770984780735.3276,5.717391304347826,-5.326086956521739,0.22826086956521738,3.8515858767205264,-8.68461998803112,-2.2812687013764212,4035.164835164835,1815.3846153846152,1.0,4.663629053872956,214.42528735632183,-1.648854961832061,-7.98473282442748,-3.480916030534351,-0.9685157421289355,-0.0239880059970015,-0.5592203898050975,1373.6263736263736,97.03418739225243,31.49109310740605,
1770984780754.9502,5.695652173913043,-5.358695652173913,0.25,3.8132854578096946,-8.698982645122681,-2.295631358467983,4060.07326007326,1850.5494505494505,1.0,4.663629053872956,214.42528735632183,-2.4580152671755724,-5.343511450381679,-3.297709923664122,-0.9835082458770614,-0.029985007496251874,-0.5427286356821589,1345.054945054945,97.03988388611906,31.49109310740605,
