Shimmer_A679_TimestampSync_Unix_CAL,Shimmer_A679_Accel_LN_X_CAL,Shimmer_A679_Accel_LN_Y_CAL,Shimmer_A679_Accel_LN_Z_CAL,Shimmer_A679_Accel_WR_X_CAL,Shimmer_A679_Accel_WR_Y_CAL,Shimmer_A679_Accel_WR_Z_CAL,Shimmer_A679_Battery_CAL,Shimmer_A679_Ext_Exp_A15_CAL,Shimmer_A679_GSR_Range_CAL,Shimmer_A679_GSR_Skin_Conductance_CAL,Shimmer_A679_GSR_Skin_Resistance_CAL,Shimmer_A679_Gyro_X_CAL,Shimmer_A679_Gyro_Y_CAL,Shimmer_A679_Gyro_Z_CAL,Shimmer_A679_Mag_X_CAL,Shimmer_A679_Mag_Y_CAL,Shimmer_A679_Mag_Z_CAL,Shimmer_A679_PPG_A13_CAL,Shimmer_A679_Pressure_BMP280_CAL,Shimmer_A679_Temperature_BMP280_CAL,Unnamed: 21
1771001482018.103,-1.608695652173913,-5.445652173913043,1.1521739130434783,-4.186714542190305,-8.78755236385398,-1.2351885098743267,4032.234432234432,1799.9999999999998,1.0,4.5972610432540755,217.5208217656857,-1.984732824427481,5.022900763358779,-2.4885496183206106,-0.3538230884557721,0.280359820089955,-0.4977511244377811,1438.8278388278388,96.98256213665204,34.4559041392291,
1771001482037.635,-1.6304347826086956,-5.478260869565217,1.1739130434782608,-4.186714542190305,-8.8426092160383,-1.2280071813285458,4032.234432234432,1799.2673992673992,1.0,4.602366274840143,217.27953410981695,-1.83206106870229,6.916030534351145,-2.595419847328244,-0.3448275862068965,0.272863568215892,-0.4962518740629685,1397.069597069597,96.9797007492755,34.4559041392291,
1771001482057.167,-1.6630434782608696,-5.5,1.1739130434782608,-4.256134051466188,-8.880909634949132,-1.2184320766008379,4008.7912087912086,1763.3699633699632,1.0,4.5972610432540755,217.5208217656857,-1.648854961832061,7.511450381679389,-3.1755725190839694,-0.3538230884557721,0.2818590704647676,-0.5037481259370314,1370.6959706959706,96.97683936472413,34.4559041392291,
1771001482076.699,-1.6630434782608696,-5.521739130434782,1.1956521739130435,-4.260921603830042,-8.904847396768401,-1.196888090963495,4005.8608058608056,1750.9157509157508,1.0,4.5972610432540755,217.5208217656857,-1.648854961832061,7.541984732824427,-3.49618320610687,-0.3493253373313343,0.27136431784107945,-0.5067466266866567,1354.5787545787546,96.97683936472413,34.4559041392291,
1771001482096.231,-1.6956521739130435,-5.510869565217392,1.2391304347826086,-4.284859365649312,-8.900059844404549,-1.18491921005386,4032.234432234432,1786.8131868131868,1.0,4.5972610432540755,217.5208217656857,-1.5572519083969465,7.816793893129771,-3.3587786259541983,-0.3493253373313343,0.2578710644677661,-0.505247376311844,1340.6593406593406,96.9739779829979,34.4559041392291,
1771001482115.763,-1.6739130434782608,-5.510869565217392,1.2173913043478262,-4.253740275284261,-8.885697187312987,-1.180131657690006,4021.978021978022,1783.8827838827838,1.0,4.5972610432540755,217.5208217656857,-1.2366412213740459,8.564885496183205,-2.9923664122137406,-0.3583208395802099,0.2593703148425787,-0.505247376311844,1323.8095238095236,96.97111660409682,34.4559041392291,
1771001482135.295,-1.6956521739130435,-5.478260869565217,1.1630434782608696,-4.282465589467384,-8.880909634949132,-1.2040694195092758,4032.234432234432,1795.6043956043954,1.0,4.5972610432540755,217.5208217656857,-0.6106870229007634,9.694656488549619,-3.16030534351145,-0.3523238380809595,0.280359820089955,-0.5142428785607196,1320.14652014652,96.98256213665204,34.4559041392291,
1771001482154.827,-1.7065217391304348,-5.521739130434782,1.2065217391304348,-4.289646918013165,-8.907241172950329,-1.199281867145422,4032.234432234432,1799.2673992673992,1.0,4.5972610432540755,217.5208217656857,-0.6412213740458015,10.885496183206106,-3.2519083969465647,-0.35082458770614694,0.27436281859070466,-0.5037481259370314,1326.7399267399267,96.97683936472413,34.4559041392291,
1771001482174.359,-1.7065217391304348,-5.456521739130435,1.1956521739130435,-4.31837223219629,-8.840215439856372,-1.163375224416517,4030.7692307692305,1804.3956043956043,1.0,4.5972610432540755,217.5208217656857,-0.8702290076335878,11.114503816793892,-3.465648854961832,-0.3583208395802099,0.27136431784107945,-0.5037481259370314,1353.8461538461538,96.98256213665204,34.4559041392291,
1771001482193.8909,-1.7391304347826086,-5.434782608695652,1.2065217391304348,-4.31837223219629,-8.777977259126272,-1.175344105326152,4030.7692307692305,1805.8608058608058,1.0,4.5972610432540755,217.5208217656857,-1.1450381679389312,11.32824427480916,-3.32824427480916,-0.3523238380809595,0.2863568215892054,-0.5067466266866567,1381.6849816849815,96.9739779829979,34.4559041392291,
1771001482213.4229,-1.7282608695652173,-5.423913043478261,1.184782608695652,-4.313584679832435,-8.77079593058049,-1.1944943147815679,4007.326007326007,1769.9633699633698,1.0,4.5972610432540755,217.5208217656857,-1.5725190839694656,11.954198473282442,-3.0076335877862594,-0.3448275862068965,0.2698650674662669,-0.5022488755622189,1380.952380952381,96.97683936472413,34.4559041392291,
1771001482232.9548,-1.7717391304347825,-5.445652173913043,1.1195652173913042,-4.3710353081986835,-8.821065230400958,-1.2447636146020347,4032.234432234432,1791.2087912087911,1.0,4.5972610432540755,217.5208217656857,-1.2519083969465647,12.916030534351144,-2.1068702290076335,-0.3583208395802099,0.27436281859070466,-0.5022488755622189,1364.8351648351647,96.9739779829979,34.4559041392291,
1771001482252.4868,-1.7391304347826086,-5.413043478260869,1.1956521739130435,-4.325553560742071,-8.749251944943147,-1.189706762417714,4032.234432234432,1797.8021978021977,1.0,4.5972610432540755,217.5208217656857,-1.114503816793893,12.320610687022901,-1.9083969465648853,-0.34332833583208394,0.2623688155922039,-0.5067466266866567,1353.113553113553,96.97683936472413,34.4559041392291,
1771001482272.0188,-1.75,-5.4021739130434785,1.2173913043478262,-4.375822860562537,-8.773189706762418,-1.170556552962298,4021.978021978022,1787.5457875457873,1.0,4.5921558116680075,217.76264591439684,-1.7404580152671756,11.526717557251908,-1.7099236641221374,-0.34782608695652173,0.2638680659670165,-0.5007496251874063,1364.8351648351647,96.97683936472413,34.4559041392291,
1771001482291.5503,-1.717391304347826,-5.4021739130434785,1.2065217391304348,-4.327947336923997,-8.77079593058049,-1.18491921005386,4032.234432234432,1797.069597069597,1.0,4.5972610432540755,217.5208217656857,-2.396946564885496,9.969465648854962,-1.3893129770992365,-0.3523238380809595,0.2623688155922039,-0.5037481259370314,1406.5934065934066,96.9739779829979,34.4559041392291,
1771001482311.0825,-1.7282608695652173,-5.380434782608695,1.2173913043478262,-4.325553560742071,-8.763614602034709,-1.153800119688809,4032.234432234432,1799.2673992673992,1.0,4.5972610432540755,217.5208217656857,-2.5801526717557253,10.091603053435113,0.24427480916030533,-0.35082458770614694,0.26836581709145424,-0.5112443778110944,1471.7948717948716,96.97683936472413,34.4559041392291,
1771001482330.6145,-1.7391304347826086,-5.434782608695652,1.2608695652173914,-4.344703770197486,-8.78755236385398,-1.141831238779174,4030.7692307692305,1804.3956043956043,1.0,4.5972610432540755,217.5208217656857,-3.0381679389312977,9.786259541984732,0.3511450381679389,-0.34782608695652173,0.2653673163418291,-0.5112443778110944,1547.985347985348,96.97683936472413,34.4559041392291,
1771001482350.1465,-1.6956521739130435,-5.5,1.2173913043478262,-4.2752842609216035,-8.86654697785757,-1.1226810293237581,4032.234432234432,1801.4652014652013,1.0,4.5921558116680075,217.76264591439684,-2.564885496183206,9.618320610687023,1.1603053435114503,-0.34782608695652173,0.27136431784107945,-0.505247376311844,1612.4542124542124,96.97683936472413,34.4559041392291,
1771001482369.6785,-1.7282608695652173,-5.543478260869565,1.2608695652173914,-4.287253141831239,-8.902453620586474,-1.1346499102333931,4027.8388278388275,1797.8021978021977,1.0,4.5972610432540755,217.5208217656857,-2.396946564885496,9.450381679389313,2.16793893129771,-0.3448275862068965,0.27436281859070466,-0.505247376311844,1614.6520146520145,96.97683936472413,34.4559041392291,
1771001482389.2104,-1.7391304347826086,-5.543478260869565,1.2608695652173914,-4.356672651107122,-8.9311789347696,-1.141831238779174,4005.8608058608056,1761.172161172161,1.0,4.5972610432540755,217.5208217656857,-2.259541984732824,7.801526717557252,2.9770992366412212,-0.3403298350824588,0.2773613193403298,-0.4992503748125937,1572.8937728937728,96.9739779829979,34.4559041392291,
