Shimmer_A679_TimestampSync_Unix_CAL,Shimmer_A679_Accel_LN_X_CAL,Shimmer_A679_Accel_LN_Y_CAL,Shimmer_A679_Accel_LN_Z_CAL,Shimmer_A679_Accel_WR_X_CAL,Shimmer_A679_Accel_WR_Y_CAL,Shimmer_A679_Accel_WR_Z_CAL,Shimmer_A679_Battery_CAL,Shimmer_A679_Ext_Exp_A15_CAL,Shimmer_A679_GSR_Range_CAL,Shimmer_A679_GSR_Skin_Conductance_CAL,Shimmer_A679_GSR_Skin_Resistance_CAL,Shimmer_A679_Gyro_X_CAL,Shimmer_A679_Gyro_Y_CAL,Shimmer_A679_Gyro_Z_CAL,Shimmer_A679_Mag_X_CAL,Shimmer_A679_Mag_Y_CAL,Shimmer_A679_Mag_Z_CAL,Shimmer_A679_PPG_A13_CAL,Shimmer_A679_Pressure_BMP280_CAL,Shimmer_A679_Temperature_BMP280_CAL,Unnamed: 21
1771001780017.3845,0.5434782608695652,-5.663043478260869,-0.5760869565217391,-1.8096947935368042,-9.067624177139438,-3.080789946140036,4029.304029304029,1795.6043956043954,1.0,4.469630253602379,223.73215305539694,-0.564885496183206,9.206106870229007,-2.900763358778626,-0.29535232383808097,0.29235382308845576,-0.3298350824587706,1685.7142857142856,96.97954552523105,34.1644436493516,
1771001780036.9165,0.6739130434782609,-5.771739130434782,-0.5434782608695652,-1.7115499700777976,-9.187312986235787,-3.229204069419509,4014.6520146520143,1771.4285714285713,1.0,4.459419790430243,224.2444190040069,-1.3129770992366412,7.862595419847328,-3.9389312977099236,-0.29235382308845576,0.2638680659670165,-0.32533733133433285,1622.7106227106226,96.9852657072276,34.1644436493516,
1771001780056.4482,0.6630434782608695,-5.771739130434782,-0.45652173913043476,-1.5918611609814481,-9.204069419509276,-3.1526032315978454,4029.304029304029,1789.7435897435896,1.0,4.4492093272581075,224.75903614457832,-3.32824427480916,6.793893129770992,-5.755725190839694,-0.28785607196401797,0.26686656671664166,-0.3193403298350824,1501.098901098901,96.97668543846665,34.1644436493516,
1771001780075.9802,0.4782608695652174,-5.782608695652174,-0.6304347826086957,-1.8120885697187312,-9.17773788150808,-3.1334530221424295,4002.9304029304026,1751.6483516483515,1.0,4.438998864085971,225.27602070155262,-4.564885496183206,9.98473282442748,-3.6488549618320607,-0.29385307346326833,0.280359820089955,-0.3298350824587706,1383.8827838827838,96.97954552523105,34.1644436493516,
1771001780095.5122,0.6413043478260869,-5.760869565217392,-0.5543478260869565,-1.7929383602633153,-9.213644524236983,-3.214841412327947,4029.304029304029,1784.6153846153845,1.0,4.418577937741701,226.31715771230503,-4.030534351145038,7.404580152671755,-6.152671755725191,-0.2983508245877061,0.26686656671664166,-0.3238380809595202,1364.102564102564,96.97668543846665,34.1644436493516,
1771001780115.0442,0.5217391304347826,-5.739130434782608,-0.6521739130434783,-1.7330939557151406,-9.146618791143029,-3.238779174147217,4027.8388278388275,1792.6739926739926,1.0,4.387946548225294,227.89703315881326,-4.8396946564885495,9.893129770992367,-4.076335877862595,-0.29685157421289354,0.27436281859070466,-0.335832083958021,1410.2564102564102,96.97954552523105,34.1644436493516,
1771001780134.5762,0.4891304347826087,-5.771739130434782,-0.5869565217391304,-1.893476959904249,-9.165769000598443,-3.202872531418312,4020.5128205128203,1780.2197802197802,1.0,4.341999463950684,230.30864197530863,-5.66412213740458,5.893129770992366,-3.6030534351145036,-0.29535232383808097,0.272863568215892,-0.32083958020989506,1414.6520146520145,96.97096527340565,34.1644436493516,
1771001780154.1082,0.5978260869565217,-5.717391304347826,-0.6086956521739131,-1.7809694793536803,-9.141831238779174,-3.1454219030520645,4029.304029304029,1791.9413919413919,1.0,4.311368074434276,231.9449378330373,-5.450381679389313,3.801526717557252,-2.015267175572519,-0.29685157421289354,0.2788605697151424,-0.3193403298350824,1410.2564102564102,96.97954552523105,34.1644436493516,
1771001780173.64,0.532608695652174,-5.760869565217392,-0.5543478260869565,-1.8073010173548774,-9.228007181328545,-3.1645721125074804,4029.304029304029,1795.6043956043954,1.0,4.28073668491787,233.60465116279067,-6.824427480916031,3.9236641221374042,-1.7099236641221374,-0.2908545727136432,0.272863568215892,-0.32083958020989506,1383.150183150183,96.97668543846665,34.1644436493516,
1771001780193.172,0.5217391304347826,-5.793478260869565,-0.5217391304347826,-1.8432076600837821,-9.206463195691203,-3.128665469778576,4026.373626373626,1789.7435897435896,1.0,4.255210526987531,235.00599880023992,-6.290076335877862,3.709923664122137,-2.1068702290076335,-0.2983508245877061,0.26686656671664166,-0.31784107946026985,1293.7728937728937,96.97668543846665,34.1644436493516,
